Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,620,Portugal,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,3224.0,,12331,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,642,Romania,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,68.0,,371,,,0
HS,2014,201402,February 2014,4,0,1,Imports,826,United Kingdom,,724,Spain,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,553095.0,,815766,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,724,Spain,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,23053.0,,110479,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,752,Sweden,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,113503.0,,160672,,,0
HS,2014,201402,February 2014,4,0,2,Exports,826,United Kingdom,,842,United States of America,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,23751.0,,162407,,,0
HS,2014,201403,March 2014,4,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,39373392.0,,37723949,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,1819377.0,,3097296,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,40,Austria,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,10313.0,,20003,,,0
HS,2014,201403,March 2014,4,0,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,140.0,,409,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,5793.0,,17930,,,0
HS,2014,201403,March 2014,4,0,1,Imports,826,United Kingdom,,90,Solomon Isds,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,3027467.0,,2825310,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,100,Bulgaria,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,7.0,,15,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,156,China,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,3500.0,,7431,,,0
HS,2014,201403,March 2014,4,0,1,Imports,826,United Kingdom,,170,Colombia,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,20700.0,,42430,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,208,Denmark,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,128.0,,583,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,233,Estonia,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,20.0,,45,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,246,Finland,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,22194.0,,30993,,,0
HS,2014,201403,March 2014,4,0,1,Imports,826,United Kingdom,,251,France,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,1717.0,,6425,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,251,France,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,61424.0,,142175,,,0
HS,2014,201403,March 2014,4,0,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,283539.0,,382938,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,276,Germany,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,239908.0,,307074,,,0
HS,2014,201403,March 2014,4,0,1,Imports,826,United Kingdom,,288,Ghana,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,2850.0,,9195,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,352,Iceland,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,1000.0,,1563,,,0
HS,2014,201403,March 2014,4,0,1,Imports,826,United Kingdom,,360,Indonesia,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,11352755.0,,9978886,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,372,Ireland,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,1394251.0,,2302337,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,24858.0,,56359,,,0
HS,2014,201403,March 2014,4,0,2,Exports,826,United Kingdom,,392,Japan,,,,,,,,,1511,"Palm oil and its fractions, not chemically modified",0,,,,,,400.0,,17676,,,0
